County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Vehicle Location,Electric Utility,2020 Census Tract,Lon,Lat
Pacific,Raymond,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,69900.0,POINT (-123.72994 46.68867),BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,53049950200.0,-123.72994,46.68867
King,Seattle,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701.0,-122.41067,47.57894
Pierce,Lakewood,WA,2024,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.52968 47.12717),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072000.0,-122.52968,47.12717
Snohomish,Edmonds,WA,2025,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,239.0,31950.0,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502.0,-122.37689,47.81116
Pierce,Tacoma,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062300.0,-122.41249,47.21584
King,Seattle,WA,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,52650.0,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401.0,-122.30346,47.55379
King,Kent,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,220.0,69900.0,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029207.0,-122.17743,47.41185
King,Seattle,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202.0,-122.38591,47.67597
Snohomish,Edmonds,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,291.0,69900.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050101.0,-122.31768,47.87166
King,Lake Forest Park,WA,2022,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,238.0,69900.0,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021400.0,-122.3175,47.75781
